record_id	source_record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason
V2-P076	G076	10.1371/journal.pone.0319227	corpus/348-PHD/doi_10.1371_journal.pone.0319227.md	87a2c313ac7b1cdde3152331e303e0015897a8f79614135163db1d1f16701e70	163225	input/projects/348-PHD/papers/doi_10.1371_journal.pone.0319227.xml	679fcd8524700de5ced1ef77a54409df14c75deed0cd910396e234540fb5dc7d	238685	frozen 209-paper JATS corpus
V2-P077	G077	10.3389/fpsyg.2023.1175402	corpus/2016740/doi_10.3389_fpsyg.2023.1175402.md	ef0a5184d3162c4c32b3ece709392db610ce59855f1d78ca992741b6005ff0ac	72783	input/projects/2016740/papers/doi_10.3389_fpsyg.2023.1175402.xml	b5f16015e4cf213f55bb353411e9db2e19d1b2d1754241869a7b403246205ba2	118746	frozen 209-paper JATS corpus
V2-P078	G078	10.3389/ijph.2026.1608807	corpus/1987-SG/doi_10.3389_ijph.2026.1608807.md	90d87e65a601d205adfea637b42a810c73e0342ce00c18f1af9216c3ee4d5592	61090	input/projects/1987-SG/papers/doi_10.3389_ijph.2026.1608807.xml	6450a38abac3dc7f89ba716b91f835cfcd54394f6d992f19f7007304da9f3ef4	98648	frozen 209-paper JATS corpus
V2-P079	G079	10.3390/curroncol32060308	corpus/1456-PD/doi_10.3390_curroncol32060308.md	b41f30156f7d0c2ff1846461be46a8a612149492a2cd74a9b561c9b49b3f17e5	50596	input/projects/1456-PD/papers/doi_10.3390_curroncol32060308.xml	73e7a8bc1ee59a6bceec30eb7dee743274a9d704dd4db5f5a0ea09841c5325f8	91640	frozen 209-paper JATS corpus
V2-P080	G080	10.5492/wjccm.v11.i4.236	corpus/299-RA/doi_10.5492_wjccm.v11.i4.236.md	c2388c8eb6b001069963a3ad99a7e75c9b7695ddb372a31b6a6c3e41bd8b9bdb	42232	input/projects/299-RA/papers/doi_10.5492_wjccm.v11.i4.236.xml	729a4255e6d7db8d96f9cd7e86688239e670a0324b355507133a0f010f512fa4	84439	frozen 209-paper JATS corpus
V2-P081	G081	10.1002/hec.4529	corpus/20190080R1/doi_10.1002_hec.4529.md	24e34bf2461ce3ff26ab79718ac248685993a16e57942331dda5fcca6450c417	97490	input/projects/20190080R1/papers/doi_10.1002_hec.4529.xml	ec5d3c6548102af9949816354ec9702e332f373e215702bd15cc0ff3d99402e5	226736	frozen 209-paper JATS corpus
V2-P082	G082	10.1002/hsr2.70308	corpus/20190690/doi_10.1002_hsr2.70308.md	343051bd13c04d48c1fad267f6e6fe42b1b3d09fb2b7ba32a4ad0bfb36f4cf79	58585	input/projects/20190690/papers/doi_10.1002_hsr2.70308.xml	e5c106eb9ec417ba5c636ae86dabe9944319c6643e3594008b1c7328ee503edc	107682	frozen 209-paper JATS corpus
V2-P083	G083	10.1007/s10198-018-0987-x	corpus/20170450/doi_10.1007_s10198-018-0987-x.md	fc488afa7b1a983ed266cae605368061b0e9fb85c5648b5e2a1ee89cec5aa645	39487	input/projects/20170450/papers/doi_10.1007_s10198-018-0987-x.xml	e14d5224491c287f9b87e33a2179419cb35353da74b99a0c18011d61f11aadb6	77612	frozen 209-paper JATS corpus
V2-P084	G084	10.1007/s10198-018-0993-z	corpus/2014170/doi_10.1007_s10198-018-0993-z.md	9a859cd03aa3256bbd52a6fac01749ca85e7d878770f3d212d83ce3ec304a741	80616	input/projects/2014170/papers/doi_10.1007_s10198-018-0993-z.xml	dec669d4343395a111005589a7c0b37c718f02cf6620fff4ba7f9f09009b7789	131975	frozen 209-paper JATS corpus
V2-P085	G085	10.1007/s10198-020-01205-9	corpus/2016570/doi_10.1007_s10198-020-01205-9.md	e0ec77f46624ebf9052b6ffb529918fbfd19e7affd57f7dd8583b72758151a0c	93389	input/projects/2016570/papers/doi_10.1007_s10198-020-01205-9.xml	8d9db24ac445adf37316e26f1bc8264d38faf465726d243c34ee73ed851c60eb	133497	frozen 209-paper JATS corpus
V2-P086	G086	10.1007/s10198-021-01306-z	corpus/2016710/doi_10.1007_s10198-021-01306-z.md	3fd5eca21b9429c79f5c0947e286ee07919dea027a79fd7f4a03fd45cd902b0b	92752	input/projects/2016710/papers/doi_10.1007_s10198-021-01306-z.xml	4635a42ac27ffc95d4f09a228cd0f585a258727259ec5e5792840555c56a2f12	159101	frozen 209-paper JATS corpus
V2-P087	G087	10.1007/s10198-021-01309-w	corpus/20170330/doi_10.1007_s10198-021-01309-w.md	35f7b7dbe33f5a60c39aa8891f623a655e9d2d45373b0da90ea86c71f36ed3a6	68283	input/projects/20170330/papers/doi_10.1007_s10198-021-01309-w.xml	c1ebc30a1a23e2fb60c1ba11dee5994e65d62817a582b4085ea230d569db3dc9	104328	frozen 209-paper JATS corpus
V2-P088	G088	10.1007/s10198-022-01481-7	corpus/20180030R1/doi_10.1007_s10198-022-01481-7.md	fcd9d9072d1a4642b7bf7fe9c1d5bbf6b1a5d9a7a545b31c8fdb0498bc6665e4	57058	input/projects/20180030R1/papers/doi_10.1007_s10198-022-01481-7.xml	1d43766b183a4abf40ac2e65a1ab5cc75d3653182d139c8d45e818b0a097ac6e	121152	frozen 209-paper JATS corpus
V2-P089	G089	10.1007/s10198-023-01668-6	corpus/417-RA/doi_10.1007_s10198-023-01668-6.md	6a9173e4d10243356fbe6ec8bb7373ba7bccbe3639324c38ae6337476fb90e1d	97711	input/projects/417-RA/papers/doi_10.1007_s10198-023-01668-6.xml	33073694eb0b31d537862471764ab168776206884db393b66b657d0ec85eaa10	156611	frozen 209-paper JATS corpus
V2-P090	G090	10.1007/s10198-024-01682-2	corpus/444-RA/doi_10.1007_s10198-024-01682-2.md	3d8470dfc1520b9b531b28b99ba49d0ce187e0e0861fb15bc2979418effaf7c2	74791	input/projects/444-RA/papers/doi_10.1007_s10198-024-01682-2.xml	71c82e502fd5912693182e8c6882846f3a9b086b2ac787645f3057278ff852c4	144581	frozen 209-paper JATS corpus
V2-P091	G091	10.1007/s10198-025-01770-x	corpus/218-RA/doi_10.1007_s10198-025-01770-x.md	087da109d92a3fb7edf1c86e6a127a1b3c8251c03a41e3faaf64d4e43af7e7d9	173513	input/projects/218-RA/papers/doi_10.1007_s10198-025-01770-x.xml	3e0764427e7d623271e9fdc65a93f7975fd7954312a422687e158f576a1403b9	262678	frozen 209-paper JATS corpus
